Map
"C0001->[(C0174,0.9568),(C0152,0.9496),(C0107,0.9463)]"
"C0002->[(C0159,0.9080),(C0005,0.9065),(C0106,0.8550)]"
"C0003->[(C0129,0.8601),(C0190,0.7665),(C0091,0.7502)]"
"C0004->[(C0099,0.9335),(C0165,0.9236),(C0102,0.9161)]"
"C0005->[(C0159,0.9803),(C0007,0.9356),(C0002,0.9065)]"
"C0006->[(C0148,0.8262),(C0096,0.8076),(C0168,0.7807)]"
"C0007->[(C0159,0.9607),(C0005,0.9356),(C0140,0.8901)]"
"C0008->[(C0024,0.8919),(C0098,0.8901),(C0194,0.8854)]"
"C0009->[(C0119,0.9224),(C0198,0.9000),(C0121,0.8767)]"
"C0010->[(C0197,0.9076),(C0062,0.8920),(C0073,0.8834)]"
"C0011->[(C0107,0.9740),(C0001,0.9396),(C0174,0.8742)]"
"C0012->[(C0013,0.9359),(C0087,0.8947),(C0195,0.8255)]"
"C0013->[(C0087,0.9489),(C0012,0.9359),(C0099,0.8966)]"
"C0014->[(C0060,0.8893),(C0063,0.8642),(C0009,0.8600)]"
"C0015->[(C0058,0.9438),(C0033,0.9231),(C0042,0.8798)]"
"C0016->[(C0183,0.9472),(C0154,0.8246),(C0067,0.7648)]"
"C0017->[(C0075,0.9335),(C0051,0.8809),(C0041,0.8496)]"
"C0018->[(C0026,0.8395),(C0117,0.7987),(C0046,0.7580)]"
"C0019->[(C0199,0.8471),(C0069,0.8433),(C0103,0.8378)]"
"C0020->[(C0050,0.8632),(C0144,0.8361),(C0015,0.8135)]"
